,date,TICKER,PRC,RET,SHROUT
3008,15/12/2008,AAPL,94.75,-0.035820,889485.0
3009,16/12/2008,AAPL,95.43,0.007177,889485.0
3010,17/12/2008,AAPL,89.16,-0.065703,889485.0
3011,18/12/2008,AAPL,89.43,0.003028,889485.0
3012,19/12/2008,AAPL,90.0,0.006374,889485.0
3013,22/12/2008,AAPL,85.74,-0.047333,889485.0
3014,23/12/2008,AAPL,86.38,0.007464,889485.0
3015,24/12/2008,AAPL,85.04,-0.015513,889485.0
3016,26/12/2008,AAPL,85.81,0.009055,890415.0
3017,29/12/2008,AAPL,86.61,0.009323,890415.0
3018,30/12/2008,AAPL,86.29,-0.003695,890415.0
3019,31/12/2008,AAPL,85.35,-0.010894,890415.0
3020,02/01/2009,AAPL,90.75,0.063269,890415.0
3021,05/01/2009,AAPL,94.58,0.042204,890415.0
3022,06/01/2009,AAPL,93.02,-0.016494,890415.0
3023,07/01/2009,AAPL,91.01,-0.021608,890415.0
3024,08/01/2009,AAPL,92.7,0.018569,890415.0
3025,09/01/2009,AAPL,90.58,-0.022869,890415.0
3026,12/01/2009,AAPL,88.66,-0.021197,890554.0
3027,13/01/2009,AAPL,87.71,-0.010715,890554.0
3028,14/01/2009,AAPL,85.33,-0.027135,890554.0
3029,15/01/2009,AAPL,83.38,-0.022853,890554.0
3030,16/01/2009,AAPL,82.33,-0.012593,890554.0
3031,20/01/2009,AAPL,78.2,-0.050164,890554.0
3032,21/01/2009,AAPL,82.83,0.059207,890554.0
3033,22/01/2009,AAPL,88.36,0.066763,890554.0
3034,23/01/2009,AAPL,88.36,0.000000,890554.0
3035,26/01/2009,AAPL,89.64,0.014486,890554.0
3036,27/01/2009,AAPL,90.73,0.012160,890554.0
3037,28/01/2009,AAPL,94.2,0.038245,890554.0
3038,29/01/2009,AAPL,93.0,-0.012739,890554.0
3039,30/01/2009,AAPL,90.13,-0.030860,890554.0
3040,02/02/2009,AAPL,91.51,0.015311,890554.0
3041,03/02/2009,AAPL,92.98,0.016064,890554.0
3042,04/02/2009,AAPL,93.55,0.006130,890554.0
3043,05/02/2009,AAPL,96.46,0.031106,890554.0
3044,06/02/2009,AAPL,99.72,0.033796,890554.0
3045,09/02/2009,AAPL,102.51,0.027978,890554.0
3046,10/02/2009,AAPL,97.83,-0.045654,890554.0
3047,11/02/2009,AAPL,96.82,-0.010324,890554.0
3048,12/02/2009,AAPL,99.27,0.025305,890554.0
3049,13/02/2009,AAPL,99.16,-0.001108,890554.0
3050,17/02/2009,AAPL,94.53,-0.046692,890554.0
3051,18/02/2009,AAPL,94.37,-0.001693,890554.0
3052,19/02/2009,AAPL,90.64,-0.039525,890554.0
3053,20/02/2009,AAPL,91.2,0.006178,890554.0
3054,23/02/2009,AAPL,86.95,-0.046601,890554.0
3055,24/02/2009,AAPL,90.25,0.037953,890554.0
3056,25/02/2009,AAPL,91.16,0.010083,890554.0
3057,26/02/2009,AAPL,89.19,-0.021610,890554.0
3058,27/02/2009,AAPL,89.31,0.001345,890554.0
3059,02/03/2009,AAPL,87.94,-0.015340,890554.0
3060,03/03/2009,AAPL,88.37,0.004890,890554.0
3061,04/03/2009,AAPL,91.17,0.031685,890554.0
3062,05/03/2009,AAPL,88.84,-0.025557,890554.0
3063,06/03/2009,AAPL,85.3,-0.039847,890554.0
3064,09/03/2009,AAPL,83.11,-0.025674,890554.0
3065,10/03/2009,AAPL,88.6275,0.066388,890554.0
3066,11/03/2009,AAPL,92.68,0.045725,890554.0
3067,12/03/2009,AAPL,96.35,0.039599,890554.0
3068,13/03/2009,AAPL,95.93,-0.004359,890554.0
3069,16/03/2009,AAPL,95.42,-0.005316,890554.0
3070,17/03/2009,AAPL,99.66,0.044435,890554.0
3071,18/03/2009,AAPL,101.52,0.018663,890554.0
3072,19/03/2009,AAPL,101.62,0.000985,890554.0
3073,20/03/2009,AAPL,101.59,-0.000295,890554.0
3074,23/03/2009,AAPL,107.66,0.059750,890554.0
3075,24/03/2009,AAPL,106.501,-0.010765,890554.0
3076,25/03/2009,AAPL,106.49,-0.000103,890554.0
3077,26/03/2009,AAPL,109.87,0.031740,890554.0
3078,27/03/2009,AAPL,106.85,-0.027487,892110.0
3079,30/03/2009,AAPL,104.49,-0.022087,892110.0
3080,31/03/2009,AAPL,105.12,0.006029,892110.0
3081,01/04/2009,AAPL,108.69,0.033961,892110.0
3082,02/04/2009,AAPL,112.71,0.036986,892110.0
3083,03/04/2009,AAPL,115.99,0.029101,892110.0
3084,06/04/2009,AAPL,118.45,0.021209,892110.0
3085,07/04/2009,AAPL,115.0,-0.029126,892110.0
3086,08/04/2009,AAPL,116.32,0.011478,892110.0
3087,09/04/2009,AAPL,119.57,0.027940,892110.0
3088,13/04/2009,AAPL,120.22,0.005436,892110.0
3089,14/04/2009,AAPL,118.31,-0.015888,892110.0
3090,15/04/2009,AAPL,117.64,-0.005663,892110.0
3091,16/04/2009,AAPL,121.45,0.032387,892110.0
3092,17/04/2009,AAPL,123.42,0.016221,892110.0
3093,20/04/2009,AAPL,120.5,-0.023659,892110.0
3094,21/04/2009,AAPL,121.76,0.010456,892110.0
3095,22/04/2009,AAPL,121.51,-0.002053,892110.0
3096,23/04/2009,AAPL,125.4,0.032014,892110.0
3097,24/04/2009,AAPL,123.9,-0.011962,892110.0
3098,27/04/2009,AAPL,124.73,0.006699,892110.0
3099,28/04/2009,AAPL,123.902,-0.006638,892110.0
3100,29/04/2009,AAPL,125.14,0.009992,892110.0
